Concatenate,Year,Pasture,Treatment,Allocation.number,Type,Owner,Tag.Color,Tag,QAQC.Notes,Actual.on.date,Actual.off.date,Season.on.date,Season.off.date,Season.Days,on_Weight,on_Shrink,off_Weight,off_Shrink,Gain_shrunk,ADG_shrunk,Use.Flag
2000_15E,2000,15E,moderate,20,heifer,Local,Brown,907,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,598,0,774,0,176,2.172839506,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,908,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,732,0,864,0,132,1.62962963,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,910,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,702,0,848,0,146,1.802469136,0
2000_15E,2000,15E,moderate,20,heifer,Local,Brown,911,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,534,0,696,0,162,2,0
2000_15E,2000,15E,moderate,20,heifer,Local,Brown,912,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,588,0,750,0,162,2,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,914,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,662,0,794,0,132,1.62962963,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,917,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,772,0,964,0,192,2.37037037,0
2000_15E,2000,15E,moderate,20,heifer,Local,Brown,921,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,570,0,724,0,154,1.901234568,0
2000_15E,2000,15E,moderate,20,heifer,Local,Brown,922,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,504,0,676,0,172,2.12345679,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,926,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,632,0,738,0,106,1.308641975,0
2000_15E,2000,15E,moderate,20,heifer,Local,Brown,927,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,512,0,688,0,176,2.172839506,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,928,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,540,0,640,0,100,1.234567901,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,930,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,688,0,800,0,112,1.382716049,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,931,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,650,0,820,0,170,2.098765432,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,932,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,574,0,688,0,114,1.407407407,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,934,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,614,0,728,0,114,1.407407407,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,942,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,489,0,650,0,161,1.987654321,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,952,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,526,0,682,0,156,1.925925926,0
2000_15E,2000,15E,moderate,20,heifer,Local,Brown,953,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,550,0,696,0,146,1.802469136,0
2000_15E,2000,15E,moderate,20,heifer,Local,Purple,956,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,562,0,718,0,156,1.925925926,0
2000_23E,2000,23E,heavy,25,heifer,Local,Purple,901,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,716,0,854,0,138,1.703703704,0
2000_23E,2000,23E,heavy,25,heifer,Local,Purple,902,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,648,0,810,0,162,2,0
2000_23E,2000,23E,heavy,25,heifer,Local,Purple,906,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,782,0,930,0,148,1.827160494,0
2000_23E,2000,23E,heavy,25,heifer,Local,Purple,907,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,670,0,826,0,156,1.925925926,0
2000_23E,2000,23E,heavy,25,heifer,Local,Purple,909,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,744,0,868,0,124,1.530864198,0
2000_23E,2000,23E,heavy,25,heifer,Local,Brown,915,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,512,0,680,0,168,2.074074074,0
2000_23E,2000,23E,heavy,25,heifer,Local,Brown,917,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,564,0,726,0,162,2,0
2000_23E,2000,23E,heavy,25,heifer,Local,Brown,920,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,570,0,708,0,138,1.703703704,0
2000_23E,2000,23E,heavy,25,heifer,Local,Purple,922,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,608,0,758,0,150,1.851851852,0
2000_23E,2000,23E,heavy,25,heifer,Local,Brown,924,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,532,0,692,0,160,1.975308642,0
2000_23E,2000,23E,heavy,25,heifer,Local,Brown,930,,5/19/2000,8/10/2000,5/20/2000,8/9/2000,81,588,0,732,0,144,1.777777778,0
